Date,Open,High,Low,Close,Volume
2022-11-14,0.6303,0.7063,0.6303,0.6601,38538
2022-11-15,0.6305,0.68,0.6305,0.6606,91325
2022-11-16,0.6408,0.6783,0.64,0.6751,21406
2022-11-17,0.6227,0.6699,0.6227,0.6301,43796
2022-11-18,0.65,0.6579,0.6168,0.6499,66371
2022-11-21,0.6167,0.6698,0.57,0.6226,80573
2022-11-22,0.62,0.65,0.62,0.6401,12930
2022-11-23,0.61,0.68,0.59,0.6501,41982
2022-11-25,0.5957,0.6616,0.5957,0.6301,24944
2022-11-28,0.6665,0.6665,0.5898,0.6417,48007
2022-11-29,0.6599,0.6599,0.6138,0.650899,15037
2022-11-30,0.6,0.6583,0.5869,0.6583,48982
2022-12-01,0.635,0.6401,0.5601,0.6401,94293
2022-12-02,0.6,0.635,0.5701,0.635,47862
2022-12-05,0.615501,0.64,0.61,0.639899,18974
2022-12-06,0.64,0.64,0.61,0.61,27168
2022-12-07,0.648,0.648,0.595,0.6113,23983
2022-12-08,0.595,0.605,0.5901,0.6004,26050
2022-12-09,0.58,0.64,0.58,0.605,25263
2022-12-12,0.56,0.620001,0.55,0.59,66723
2022-12-13,0.589,0.6023,0.5802,0.583741,45125
2022-12-14,0.5838,0.5867,0.5429,0.5601,65774
2022-12-15,0.57095,0.575,0.5601,0.575,43836
2022-12-16,0.5825,0.6149,0.57,0.6,61006
2022-12-19,0.57,0.609,0.57,0.5946,47103
2022-12-20,0.5988,0.6,0.56,0.5856,60329
2022-12-21,0.56,0.63,0.56,0.62,96344
2022-12-22,0.6014,0.62,0.58,0.5999,25765
2022-12-23,0.608,0.6099,0.579878,0.6,53113
2022-12-27,0.57,0.599899,0.54,0.56,130436
2022-12-28,0.61,0.61,0.5287,0.5686,73462
2022-12-29,0.54,0.5848,0.54,0.5715,69020
2022-12-30,0.554,0.61,0.54,0.5985,48897
2023-01-03,0.58,0.61,0.58,0.58,89091
2023-01-04,0.61,0.648,0.6,0.626899,78345
2023-01-05,0.6017,0.6399,0.6,0.6179,44007
2023-01-06,0.59,0.65,0.59,0.6299,95951
2023-01-09,0.66,0.66,0.5701,0.59,112658
2023-01-10,0.607651,0.6501,0.58,0.605,26424
2023-01-11,0.5948,0.635001,0.5948,0.605507,33431
2023-01-12,0.59,0.67,0.59,0.6598,59989
2023-01-13,0.63,0.67,0.63,0.6699,29464
2023-01-17,0.65,0.6699,0.6,0.63,39871
2023-01-18,0.6,0.63,0.597651,0.6298,33113
2023-01-19,0.6,0.6298,0.5876,0.629,16834
2023-01-20,0.5849,0.629,0.5838,0.6289,12639
2023-01-23,0.5958,0.6649,0.5707,0.6609,62655
2023-01-24,0.64,0.66,0.6,0.6571,70205
2023-01-25,0.6722,0.6722,0.5707,0.65,44133
2023-01-26,0.69,0.69,0.6129,0.65,55719
2023-01-27,0.61,0.6539,0.6001,0.6473,45286
2023-01-30,0.611,0.6599,0.61,0.628,67386
2023-01-31,0.64,0.65,0.6001,0.645,34059
2023-02-01,0.6001,0.6462,0.6001,0.6349,22068
2023-02-02,0.62,0.635,0.6101,0.635,31873
2023-02-03,0.65,0.65,0.6,0.6,65811
2023-02-06,0.61,0.6261,0.6,0.6061,39132
2023-02-07,0.6112,0.62,0.6,0.617,17338
2023-02-08,0.6,0.63,0.6,0.6001,20166
2023-02-09,0.607,0.63,0.55,0.5999,85418
2023-02-10,0.56,0.58,0.55,0.56,34572
2023-02-13,0.55,0.57,0.55,0.57,46546
2023-02-14,0.56,0.57,0.55,0.57,35137
2023-02-15,0.57,0.58,0.5601,0.5752,24822
2023-02-16,0.5511,0.5785,0.5511,0.5699,25622
2023-02-17,0.56,0.58,0.56,0.58,12136
2023-02-21,0.5601,0.58,0.53,0.5598,98795
2023-02-22,0.56,0.5666,0.5501,0.5502,25544
2023-02-23,0.55,0.563899,0.54,0.54,32016
2023-02-24,0.53,0.56,0.53,0.56,37748
2023-02-27,0.56,0.609,0.5005,0.5571,64749
2023-02-28,0.55,0.5571,0.5101,0.5571,5876
2023-03-01,0.53,0.5571,0.51005,0.5101,29220
2023-03-02,0.515,0.5601,0.515,0.559899,8023
2023-03-03,0.56,0.5601,0.5307,0.5476,80840
2023-03-06,0.5308,0.61,0.53,0.6,76863
2023-03-07,0.57,0.6,0.57,0.5878,68134
